[2026-05-05T13:06:29.627+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-05-05T13:06:29.655+0000] {taskinstance.py:2073} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: globalretail_etl_pipeline.load_to_mongo manual__2026-05-05T12:34:52+00:00 [queued]>
[2026-05-05T13:06:29.663+0000] {taskinstance.py:2073} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: globalretail_etl_pipeline.load_to_mongo manual__2026-05-05T12:34:52+00:00 [queued]>
[2026-05-05T13:06:29.663+0000] {taskinstance.py:2303} INFO - Starting attempt 2 of 2
[2026-05-05T13:06:29.677+0000] {taskinstance.py:2327} INFO - Executing <Task(PythonOperator): load_to_mongo> on 2026-05-05 12:34:52+00:00
[2026-05-05T13:06:29.688+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'globalretail_etl_pipeline', 'load_to_mongo', 'manual__2026-05-05T12:34:52+00:00', '--job-id', '14', '--raw', '--subdir', 'DAGS_FOLDER/globalretail_etl_dag.py', '--cfg-path', '/tmp/tmppjxa3_6v']
[2026-05-05T13:06:29.692+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:61 DeprecationWarning: This process (pid=2219) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-05-05T13:06:29.693+0000] {standard_task_runner.py:91} INFO - Job 14: Subtask load_to_mongo
[2026-05-05T13:06:29.693+0000] {standard_task_runner.py:63} INFO - Started process 2221 to run task
[2026-05-05T13:06:29.766+0000] {task_command.py:426} INFO - Running <TaskInstance: globalretail_etl_pipeline.load_to_mongo manual__2026-05-05T12:34:52+00:00 [running]> on host f4241225583d
[2026-05-05T13:06:29.861+0000] {taskinstance.py:2644} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='data-engineering' AIRFLOW_CTX_DAG_ID='globalretail_etl_pipeline' AIRFLOW_CTX_TASK_ID='load_to_mongo' AIRFLOW_CTX_EXECUTION_DATE='2026-05-05T12:34:52+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-05-05T12:34:52+00:00'
[2026-05-05T13:06:29.864+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-05-05T13:06:29.885+0000] {globalretail_etl_dag.py:338} INFO - ================================================================
[2026-05-05T13:06:29.885+0000] {globalretail_etl_dag.py:339} INFO - LOAD     started at 2026-05-05T13:06:29.885788
[2026-05-05T13:06:29.886+0000] {globalretail_etl_dag.py:340} INFO - ================================================================
[2026-05-05T13:06:31.479+0000] {globalretail_etl_dag.py:344} INFO - Records to load: 805549
[2026-05-05T13:06:42.868+0000] {globalretail_etl_dag.py:375} INFO - Indexes ensured.
[2026-05-05T13:06:45.643+0000] {globalretail_etl_dag.py:399} INFO - Batch 1/806 → inserted=0  skipped(dup)=1000
[2026-05-05T13:06:48.676+0000] {globalretail_etl_dag.py:399} INFO - Batch 2/806 → inserted=0  skipped(dup)=1000
[2026-05-05T13:06:51.699+0000] {globalretail_etl_dag.py:399} INFO - Batch 3/806 → inserted=0  skipped(dup)=1000
[2026-05-05T13:06:53.664+0000] {globalretail_etl_dag.py:399} INFO - Batch 4/806 → inserted=0  skipped(dup)=1000
[2026-05-05T13:06:54.589+0000] {globalretail_etl_dag.py:399} INFO - Batch 5/806 → inserted=0  skipped(dup)=1000
[2026-05-05T13:06:58.533+0000] {globalretail_etl_dag.py:399} INFO - Batch 6/806 → inserted=0  skipped(dup)=1000
[2026-05-05T13:07:01.487+0000] {globalretail_etl_dag.py:399} INFO - Batch 7/806 → inserted=0  skipped(dup)=1000
[2026-05-05T13:07:04.533+0000] {globalretail_etl_dag.py:399} INFO - Batch 8/806 → inserted=0  skipped(dup)=1000
[2026-05-05T13:07:07.538+0000] {globalretail_etl_dag.py:399} INFO - Batch 9/806 → inserted=0  skipped(dup)=1000
[2026-05-05T13:07:10.511+0000] {globalretail_etl_dag.py:399} INFO - Batch 10/806 → inserted=0  skipped(dup)=1000
[2026-05-05T13:07:13.617+0000] {globalretail_etl_dag.py:399} INFO - Batch 11/806 → inserted=0  skipped(dup)=1000
[2026-05-05T13:07:16.610+0000] {globalretail_etl_dag.py:399} INFO - Batch 12/806 → inserted=0  skipped(dup)=1000
[2026-05-05T13:07:19.642+0000] {globalretail_etl_dag.py:399} INFO - Batch 13/806 → inserted=0  skipped(dup)=1000
[2026-05-05T13:07:22.719+0000] {globalretail_etl_dag.py:399} INFO - Batch 14/806 → inserted=0  skipped(dup)=1000
[2026-05-05T13:07:25.591+0000] {globalretail_etl_dag.py:399} INFO - Batch 15/806 → inserted=0  skipped(dup)=1000
[2026-05-05T13:07:28.539+0000] {globalretail_etl_dag.py:399} INFO - Batch 16/806 → inserted=0  skipped(dup)=1000
[2026-05-05T13:07:31.525+0000] {globalretail_etl_dag.py:399} INFO - Batch 17/806 → inserted=0  skipped(dup)=1000
[2026-05-05T13:07:33.542+0000] {globalretail_etl_dag.py:399} INFO - Batch 18/806 → inserted=0  skipped(dup)=1000
[2026-05-05T13:07:34.459+0000] {globalretail_etl_dag.py:399} INFO - Batch 19/806 → inserted=0  skipped(dup)=1000
[2026-05-05T13:07:38.543+0000] {globalretail_etl_dag.py:399} INFO - Batch 20/806 → inserted=0  skipped(dup)=1000
[2026-05-05T13:07:41.626+0000] {globalretail_etl_dag.py:399} INFO - Batch 21/806 → inserted=0  skipped(dup)=1000
[2026-05-05T13:07:44.639+0000] {globalretail_etl_dag.py:399} INFO - Batch 22/806 → inserted=0  skipped(dup)=1000
[2026-05-05T13:07:47.661+0000] {globalretail_etl_dag.py:399} INFO - Batch 23/806 → inserted=0  skipped(dup)=1000
[2026-05-05T13:07:50.660+0000] {globalretail_etl_dag.py:399} INFO - Batch 24/806 → inserted=0  skipped(dup)=1000
[2026-05-05T13:07:53.690+0000] {globalretail_etl_dag.py:399} INFO - Batch 25/806 → inserted=0  skipped(dup)=1000
[2026-05-05T13:07:56.595+0000] {globalretail_etl_dag.py:399} INFO - Batch 26/806 → inserted=0  skipped(dup)=1000
[2026-05-05T13:07:59.566+0000] {globalretail_etl_dag.py:399} INFO - Batch 27/806 → inserted=0  skipped(dup)=1000
[2026-05-05T13:08:02.557+0000] {globalretail_etl_dag.py:399} INFO - Batch 28/806 → inserted=0  skipped(dup)=1000
[2026-05-05T13:08:05.589+0000] {globalretail_etl_dag.py:399} INFO - Batch 29/806 → inserted=0  skipped(dup)=1000
[2026-05-05T13:08:08.702+0000] {globalretail_etl_dag.py:399} INFO - Batch 30/806 → inserted=0  skipped(dup)=1000
[2026-05-05T13:08:10.661+0000] {globalretail_etl_dag.py:399} INFO - Batch 31/806 → inserted=0  skipped(dup)=1000
[2026-05-05T13:08:11.631+0000] {globalretail_etl_dag.py:399} INFO - Batch 32/806 → inserted=0  skipped(dup)=1000
[2026-05-05T13:08:12.625+0000] {globalretail_etl_dag.py:399} INFO - Batch 33/806 → inserted=0  skipped(dup)=1000
[2026-05-05T13:08:13.652+0000] {globalretail_etl_dag.py:399} INFO - Batch 34/806 → inserted=0  skipped(dup)=1000
[2026-05-05T13:08:17.702+0000] {globalretail_etl_dag.py:399} INFO - Batch 35/806 → inserted=0  skipped(dup)=1000
[2026-05-05T13:08:20.898+0000] {globalretail_etl_dag.py:399} INFO - Batch 36/806 → inserted=0  skipped(dup)=1000
[2026-05-05T13:08:23.659+0000] {globalretail_etl_dag.py:399} INFO - Batch 37/806 → inserted=0  skipped(dup)=1000
[2026-05-05T13:08:26.583+0000] {globalretail_etl_dag.py:399} INFO - Batch 38/806 → inserted=0  skipped(dup)=1000
[2026-05-05T13:08:29.541+0000] {globalretail_etl_dag.py:399} INFO - Batch 39/806 → inserted=0  skipped(dup)=1000
[2026-05-05T13:08:32.546+0000] {globalretail_etl_dag.py:399} INFO - Batch 40/806 → inserted=0  skipped(dup)=1000
[2026-05-05T13:08:35.576+0000] {globalretail_etl_dag.py:399} INFO - Batch 41/806 → inserted=0  skipped(dup)=1000
[2026-05-05T13:08:38.651+0000] {globalretail_etl_dag.py:399} INFO - Batch 42/806 → inserted=0  skipped(dup)=1000
[2026-05-05T13:08:41.667+0000] {globalretail_etl_dag.py:399} INFO - Batch 43/806 → inserted=0  skipped(dup)=1000
[2026-05-05T13:08:44.737+0000] {globalretail_etl_dag.py:399} INFO - Batch 44/806 → inserted=0  skipped(dup)=1000
[2026-05-05T13:08:47.770+0000] {globalretail_etl_dag.py:399} INFO - Batch 45/806 → inserted=0  skipped(dup)=1000
[2026-05-05T13:08:50.831+0000] {globalretail_etl_dag.py:399} INFO - Batch 46/806 → inserted=0  skipped(dup)=1000
[2026-05-05T13:08:53.681+0000] {globalretail_etl_dag.py:399} INFO - Batch 47/806 → inserted=0  skipped(dup)=1000
[2026-05-05T13:08:56.611+0000] {globalretail_etl_dag.py:399} INFO - Batch 48/806 → inserted=0  skipped(dup)=1000
[2026-05-05T13:08:59.648+0000] {globalretail_etl_dag.py:399} INFO - Batch 49/806 → inserted=0  skipped(dup)=1000
[2026-05-05T13:09:02.649+0000] {globalretail_etl_dag.py:399} INFO - Batch 50/806 → inserted=0  skipped(dup)=1000
[2026-05-05T13:09:05.607+0000] {globalretail_etl_dag.py:399} INFO - Batch 51/806 → inserted=0  skipped(dup)=1000
[2026-05-05T13:09:07.603+0000] {globalretail_etl_dag.py:399} INFO - Batch 52/806 → inserted=0  skipped(dup)=1000
[2026-05-05T13:09:08.626+0000] {globalretail_etl_dag.py:399} INFO - Batch 53/806 → inserted=0  skipped(dup)=1000
[2026-05-05T13:09:09.625+0000] {globalretail_etl_dag.py:399} INFO - Batch 54/806 → inserted=0  skipped(dup)=1000
[2026-05-05T13:09:10.657+0000] {globalretail_etl_dag.py:399} INFO - Batch 55/806 → inserted=0  skipped(dup)=1000
[2026-05-05T13:09:11.643+0000] {globalretail_etl_dag.py:399} INFO - Batch 56/806 → inserted=0  skipped(dup)=1000
[2026-05-05T13:09:15.695+0000] {globalretail_etl_dag.py:399} INFO - Batch 57/806 → inserted=0  skipped(dup)=1000
[2026-05-05T13:09:18.738+0000] {globalretail_etl_dag.py:399} INFO - Batch 58/806 → inserted=0  skipped(dup)=1000
[2026-05-05T13:09:21.786+0000] {globalretail_etl_dag.py:399} INFO - Batch 59/806 → inserted=0  skipped(dup)=1000
[2026-05-05T13:09:22.734+0000] {globalretail_etl_dag.py:399} INFO - Batch 60/806 → inserted=0  skipped(dup)=1000
[2026-05-05T13:09:23.698+0000] {globalretail_etl_dag.py:399} INFO - Batch 61/806 → inserted=0  skipped(dup)=1000
[2026-05-05T13:09:24.663+0000] {globalretail_etl_dag.py:399} INFO - Batch 62/806 → inserted=0  skipped(dup)=1000
[2026-05-05T13:09:25.642+0000] {globalretail_etl_dag.py:399} INFO - Batch 63/806 → inserted=0  skipped(dup)=1000
[2026-05-05T13:09:29.601+0000] {globalretail_etl_dag.py:399} INFO - Batch 64/806 → inserted=0  skipped(dup)=1000
[2026-05-05T13:09:32.595+0000] {globalretail_etl_dag.py:399} INFO - Batch 65/806 → inserted=0  skipped(dup)=1000
[2026-05-05T13:09:35.761+0000] {globalretail_etl_dag.py:399} INFO - Batch 66/806 → inserted=0  skipped(dup)=1000
[2026-05-05T13:09:38.644+0000] {globalretail_etl_dag.py:399} INFO - Batch 67/806 → inserted=0  skipped(dup)=1000
[2026-05-05T13:09:41.676+0000] {globalretail_etl_dag.py:399} INFO - Batch 68/806 → inserted=0  skipped(dup)=1000
[2026-05-05T13:09:43.703+0000] {globalretail_etl_dag.py:399} INFO - Batch 69/806 → inserted=0  skipped(dup)=1000
[2026-05-05T13:09:46.824+0000] {globalretail_etl_dag.py:399} INFO - Batch 70/806 → inserted=0  skipped(dup)=1000
[2026-05-05T13:09:47.763+0000] {globalretail_etl_dag.py:399} INFO - Batch 71/806 → inserted=0  skipped(dup)=1000
[2026-05-05T13:09:50.821+0000] {globalretail_etl_dag.py:399} INFO - Batch 72/806 → inserted=0  skipped(dup)=1000
